session,bbid,sponsor,date of vote, title, url
2017-2018,270,Jeffrey L Boyd,04/16/2018,Minority and Women-Owned Business Enterprise Program for the City,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11042
2017-2018,34,Christine Ingrassia,04/16/2018,Buffer zone for health care facilities,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10799
2017-2018,262,Joseph D Roddy,04/16/2018,Authorizing agrmt for City Foundry TIF RPA,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11034
2017-2018,233,Pam Boyd,04/16/2018,Ordinance amending Civilian Oversight Board Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10998
2017-2018,99,Lewis E Reed,03/09/2018,Collection of funds for prevention of domestic violence,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10864
2017-2018,186,Marlene E Davis,03/09/2018,Grand Center Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10951
2017-2018,245,Lewis E Reed,03/09/2018,SLDC to complete an annual City Economic Growth Strategy Report,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11010
2017-2018,257,Dan Guenther,03/09/2018,Redevelopment plan for 3434 & 3436 Indiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11025
2017-2018,261,Joseph D Roddy,03/09/2018,Approv. amendment RPA2 City Foundry TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11033
2017-2018,241,Christine Ingrassia,03/02/2018,Collection of fines assessed by the Building Commission,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11006
2017-2018,242,Christine Ingrassia,03/02/2018,Enforcement of Code Violations,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11007
2017-2018,221,Christine Ingrassia,03/02/2018,Ordinance establishing EQH Market St. CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10986
2017-2018,191,Joseph D Roddy,03/02/2018,Forest Park Southeast Form-Based District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10956
2017-2018,172,Joseph D Roddy,02/23/2018,Quit Claim for Botanical Heights 4223 Gibson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10937
2017-2018,207,Heather Navarro,02/23/2018,Dissolution of the East Loop/Parkview Gardens Special Business District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10972
2017-2018,210,Marlene E Davis,02/23/2018,Agreement with ABM Parking Services,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10975
2017-2018,246,Tom Oldenburg,02/23/2018,Additional sales tax and use tax established by Ord 7058,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11011
2017-2018,244,Jack Coatar,02/23/2018,Honorary street name Bismarck Street will begin at the intersection of Barton Street and 7th Street and run north on 7th Street to Lami Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11017
