session,bbid,sponsor,date of vote, title, url
2017-2018,251,Carol Howard,02/23/2018,Two-way stop site at the intersection of Alfred Street and Bingham Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11018
2017-2018,252,Jeffrey L Boyd,02/23/2018,2018 St. Louis Works and the 50/50 Sidewalk Programs City Wide,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11019
2017-2018,253,Joseph D Roddy,02/23/2018,Talmage Chouteau Residential Parking District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11020
2017-2018,248,Joseph D Roddy,02/23/2018,Authorizing and directing the issuance and delivery of one or more series of tax increment revenue notes (St. Louis Innovation District/RPA 3 Redevelopment Project) Series A Series B and Series C,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11013
2017-2018,249,Joseph D Roddy,02/23/2018,Adopting and approving redevelopment projects for Redevelopment Project Area 3 as described in the Amended and Restated St. Louis Innovation District Tax Increment Financing Redevelopment Plan;,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11014
2017-2018,256,Jeffrey L Boyd,02/23/2018,Parking meter fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11024
2017-2018,181,Jack Coatar,02/16/2018,Ordinance amending Redevelopment plan for Eleventh Clark 8th Poplar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10946
2017-2018,189,Samuel L Moore,02/16/2018,Zoning change for 2505 N. Sarah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10954
2017-2018,192,Joseph D Roddy,02/16/2018,Revocation of Special Use District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10957
2017-2018,205,Samuel L Moore,02/16/2018,Redevelopment plan for 2400-22 N. Sarah  and 4056-58 St. Ferdinand,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10970
2017-2018,211,Dan Guenther,02/16/2018,Zoning change for 3306 Wisconsin,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10976
2017-2018,212,Lewis E Reed,02/16/2018,Sheriff Department pay bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10977
2017-2018,213,Scott Ogilvie,02/16/2018,Redevelopment plan for 1216-1218 Kraft,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10978
2017-2018,214,John Collins-Muhammad,02/16/2018,Redevelopment plan for 4200-98 & 4201-99 Harris,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10979
2017-2018,228,Jack Coatar,02/16/2018,Redevelopment plan for 701-705 N. 1st Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10993
2017-2018,229,Cara Spencer,02/16/2018,Redevelopment plan for 3450 Oregon,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10994
2017-2018,230,Cara Spencer,02/16/2018,Redevelopment plan for 3024 Potomac,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10995
2017-2018,231,Cara Spencer,02/16/2018,Redevelopment plan for 3548 S. Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10996
2017-2018,238,Sarah Martin,02/16/2018,Redevelopment plan for 6132 & 7600 Vermont,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11003
2017-2018,247,Joseph D Roddy,02/16/2018,Redevelopment Plan for Forest Park Scattered Sites V,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11012
2017-2018,250,Jack Coatar,02/16/2018,An ordinance approving a Redevelopment Plan for 300 South Broadway.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11016
2017-2018,240,Frank Williamson,02/16/2018,Public Improvement Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11005
2017-2018,236,Joseph Vaccaro,02/09/2018,Four-way stop at Clifton and Oleatha,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11001
2017-2018,243,Cara Spencer,02/09/2018,Ordinance regarding public meetings calendar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11008
2017-2018,126,Christine Ingrassia,01/26/2018,Agreement with MSD sharing water data,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10891
2017-2018,174,Lewis E Reed,01/26/2018,Supplemental appropriation to the Annual Budget,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10939
2017-2018,193,Lewis E Reed,01/26/2018,An ordinance pertaining to unlawful possession of marijuana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10958
2017-2018,203,Jeffrey L Boyd,01/26/2018,Ordinance establishing a public works project,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10968
2017-2018,215,Tom Oldenburg,01/26/2018,3-way stop at Devanshire and Childress,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10980
2017-2018,224,Marlene E Davis,01/26/2018,Sale to UE d/b/a Ameren Mo.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10989
2017-2018,225,Marlene E Davis,01/26/2018,1st amendment to the agreement with Signature Flight Support,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10990
2017-2018,226,Marlene E Davis,01/26/2018,1st amendment to the agreement with MHS Travel & Charter,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10991
2017-2018,227,Larry Arnowitz,01/26/2018,Lead  Hazard Reduction Demonstration Grant,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10992
2017-2018,208,Marlene E Davis,01/12/2018,Transfer of funds to the Airport Development Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10973
2017-2018,209,Marlene E Davis,01/12/2018,2nd Amendment to the Fuel System Lease,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10974
2017-2018,190,Jeffrey L Boyd,01/12/2018,Ordinance pertaining to Parking Meter Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10955
2017-2018,25,Christine Ingrassia,12/15/2017,Rezoning 2801-2803 Magnolia,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10789
2017-2018,26,Christine Ingrassia,12/15/2017,Zoning change for 2809-2811-13 Magnolia,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10790
2017-2018,105,Christine Ingrassia,12/15/2017,2647-49 & 2651-2653 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10870
2017-2018,141,Joseph D Roddy,12/15/2017,Zoning change for 4000-4100 blocks of Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10906
2017-2018,195,Jack Coatar,12/15/2017,Redevelopment plan for 2001-2003 Ann Av.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10960
2017-2018,196,Stephen Conway,12/15/2017,Redevelopment plan for 4121 Russell Blvd.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10961
2017-2018,197,Sarah Martin,12/15/2017,Redevelopment plan for 7500 - 7518 South Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10962
2017-2018,198,Joseph Vollmer,12/15/2017,Redevelopment plan for 5231 - 5233 Shaw & 5239 - 5241 Shaw,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10963
2017-2018,199,Dan Guenther,12/15/2017,Redevelopment plan for 4601 South Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10964
2017-2018,200,Joseph D Roddy,12/15/2017,TIF bill regarding the termination of two special allocation funds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10965
2017-2018,202,Brandon Bosley,12/15/2017,Ordinance closing traffic on Sullivan from Grand Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10967
2017-2018,138,Joseph D Roddy,12/15/2017,Cortex Bill approving the Fifth Supplemental Trust Indenture,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10903
2017-2018,201,Joseph D Roddy,12/15/2017,Ordinance regarding TIF plans,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10966
2017-2018,124,Brandon Bosley,12/01/2017,Ordinance repealing ordinance 6900 pertaining to liquor licenses in the Third Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10889
2017-2018,132,Carol Howard,12/01/2017,Establishing the Office of Community Mediation,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10897
2017-2018,142,John Collins-Muhammad,12/01/2017,Redevelopment plan for 4400-44 and 4401-03 Red Bud,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10907
2017-2018,146,John Collins-Muhammad,12/01/2017,Redevelopment plan for 4100-4798 and 4101-4799 W. Natural Bridge,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10911
2017-2018,170,John Collins-Muhammad,12/01/2017,Ordinance closing 4400 Red Bud,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10935
2017-2018,185,Cara Spencer,12/01/2017,Redevelopment plan for 3420 California,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10950
2017-2018,101,Megan E. Green,12/01/2017,Redevelopment plan for 3172 Morganford,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10866
2017-2018,103,Terry Kennedy,11/03/2017,Deaconess Foundation Project Zoning Change,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10868
2017-2018,104,Lewis E Reed,11/03/2017,Zoning change for 4115 N. Broadway 815-817 Angelica,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10869
2017-2018,106,Tammika Hubbard,11/03/2017,Rezoning for NGA,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10871
2017-2018,115,Frank Williamson,11/03/2017,Renaming Parkland Park to Frank Williamson Sr. Park,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10880
2017-2018,137,Megan E. Green,11/03/2017,Ordinance pertaining to Residential Disabled Parking,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10902
2017-2018,140,Carol Howard,11/03/2017,Redevelopment plan for 5335 Gilson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10905
2017-2018,143,Joseph Vollmer,11/03/2017,Redevelopment plan for 5345 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10908
2017-2018,144,Cara Spencer,11/03/2017,Redevelopment plan for 3442-44 California,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10909
2017-2018,145,Samuel L Moore,11/03/2017,Redevelopment plan for St. Ferdinand Phase II Redevelopment Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10910
2017-2018,147,Stephen Conway,11/03/2017,Redevelopment plan for 4131 Flora Place,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10912
2017-2018,148,Stephen Conway,11/03/2017,Redevelopment plan for 4212 Botanical,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10913
2017-2018,149,Stephen Conway,11/03/2017,Redevelopment plan for 3931 Russell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10914
2017-2018,150,Christine Ingrassia,11/03/2017,Redevelopment plan for 2806-12 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10915
2017-2018,151,Scott Ogilvie,11/03/2017,Redevelopment plan for 6755 6767 6769 Nashville,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10916
2017-2018,152,Frank Williamson,11/03/2017,Redevelopment plan for 1416-18 Union,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10917
2017-2018,153,Jack Coatar,11/03/2017,Redevelopment plan for 2330-32 S. 12th Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10918
2017-2018,154,Jack Coatar,11/03/2017,Redevelopment plan for 2263-65 Indiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10919
2017-2018,155,Cara Spencer,11/03/2017,Redevelopment plan for 3422 Oregon,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10920
2017-2018,156,Samuel L Moore,11/03/2017,Redevelopment plan amended for 3922-68 3919-29 and 3939-67 Lincoln,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10921
2017-2018,157,Dan Guenther,11/03/2017,Redevelopment plan for 3325 Wisconsin,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10922
2017-2018,158,Joseph D Roddy,11/03/2017,Redevelopment plan for 1302 Boyle,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10923
2017-2018,159,Jack Coatar,11/03/2017,Redevelopment plan for 1001-03 Russell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10924
2017-2018,160,Jack Coatar,11/03/2017,Redevelopment plan for 2222 Menard,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10925
2017-2018,161,Joseph D Roddy,11/03/2017,Redevelopment plan for 4170-74 Manchester,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10926
2017-2018,162,Joseph D Roddy,11/03/2017,Redevelopment plan for 4211 4219 and 4235-39 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10927
2017-2018,163,Joseph D Roddy,11/03/2017,Redevelopment plan for 4330-4337 Gibson and 4210 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10928
2017-2018,164,Joseph D Roddy,11/03/2017,Redevelopment plan for 4310-20 Vista,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10929
2017-2018,165,Joseph D Roddy,11/03/2017,Redevelopment plan for 1115-23 S. Newstead,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10930
2017-2018,166,Stephen Conway,11/03/2017,Redevelopment plan for 3441-51 Juniata,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10931
2017-2018,173,Jeffrey L Boyd,11/03/2017,Redevelopment plan for 2809 Belt,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10938
2017-2018,123,Joseph D Roddy,11/03/2017,Block Grant Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10888
2017-2018,121,Megan E. Green,10/27/2017,4-way stop at Hartford and Morganford,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10886
2017-2018,76,Dan Guenther,10/20/2017,Redevelopment plan for 1956 Utah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10841
2017-2018,77,Dan Guenther,10/20/2017,Redevelopment plan for 2918 Wyoming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10842
2017-2018,78,Dan Guenther,10/20/2017,Redevelopment plan for 2821 Texas,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10843
2017-2018,79,Dan Guenther,10/20/2017,Redevelopment plan for 3021 Texas,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10844
2017-2018,87,Terry Kennedy,10/20/2017,Ordinance prohibiting illegal evictions,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10852
2017-2018,100,Joseph Vollmer,10/20/2017,Redevelopment plan for 5219 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10865
2017-2018,116,Larry Arnowitz,10/20/2017,Redevelopment plan for 3830 & 3831 Boulevard Hgts,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10881
2017-2018,131,Marlene E Davis,10/20/2017,Honorary street name - Elder Bennie Lee Thompson Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10896
2017-2018,133,Sarah Martin,10/20/2017,Vacation of Primm St. from Reilly westwardly,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10898
2017-2018,135,Marlene E Davis,10/20/2017,Service agreement with Complete Auto Body and Repair,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10900
2017-2018,136,Marlene E Davis,10/20/2017,Ordinance pertaining to Leases on the Wharf,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10901
2017-2018,139,Samuel L Moore,10/20/2017,Street name change to Norma Leggett Lane,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10904
2017-2018,122,Stephen Conway,10/20/2017,Use Tax Supplemental Appropriation,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10887
2017-2018,95,Marlene E Davis,10/06/2017,Hunter Engineering Lease Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10860
2017-2018,102,Marlene E Davis,10/06/2017,TRANS Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10867
2017-2018,107,Marlene E Davis,10/06/2017,Air Service Incentive Program,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10872
2017-2018,108,Marlene E Davis,10/06/2017,Air Service Incentive Program Funding,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10873
2017-2018,109,Marlene E Davis,10/06/2017,CIP Airfield Building and Environs Projects,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10874
2017-2018,110,Marlene E Davis,10/06/2017,Supplemental Agreement to Airport Aid Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10875
2017-2018,111,Marlene E Davis,10/06/2017,Airport Aid Agreement With Mo. Highways and Transportation Commission.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10876
2017-2018,112,Marlene E Davis,10/06/2017,First Amendment to Wi-Fi and Distributed Antenna System,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10877
2017-2018,113,Larry Arnowitz,10/06/2017,Street name change S. Sgt. Ron Bozikis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10878
2017-2018,114,Lewis E Reed,10/06/2017,Bi Annual Conflict of Interest Policy,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10879
2017-2018,118,Joseph D Roddy,10/06/2017,Vacate Chouteau at Sarah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10883
2017-2018,89,Stephen Conway,09/22/2017,Ordinance authorizing contract for sale of property,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10854
2017-2018,60,Stephen Conway,07/14/2017,Ordinance relating to Public Safety,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10825
2017-2018,59,Stephen Conway,07/14/2017,Ordinance relating to Solid Waste Service fee,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10824
2017-2018,9,Joseph Vaccaro,07/14/2017,Ordinance requiring reporting on solitary confinement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10771
2017-2018,53,Carol Howard,07/14/2017,Ordinance to move St.  Louis National Night Out,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10818
2017-2018,52,Cara Spencer,07/14/2017,Animal control bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10817
2017-2018,86,Cara Spencer,07/14/2017,Ordinance for regulation and control of air pollution,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10851
2017-2018,92,Jeffrey L Boyd,07/14/2017,Ordinance pertaining to the Parking Meter Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10857
2017-2018,94,John Collins-Muhammad,07/14/2017,Honorary street name change to Terry 'Chip' Jones Way,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10859
2017-2018,43,Marlene E Davis,07/14/2017,Forsyth Associates Community Improvement District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10808
2017-2018,93,Lewis E Reed,07/14/2017,Ordinance making supplemental appropriation to the Annual Budget,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10858
2017-2018,18,Joseph D Roddy,07/07/2017,City Foundry TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10782
2017-2018,21,Joseph D Roddy,07/07/2017,Redevelopment plan for 4427 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10785
2017-2018,38,Marlene E Davis,07/07/2017,Ordinance amending tax abatement for 1513-23 S. Compton and 3201-27 St. Vincent,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10803
2017-2018,45,Joseph D Roddy,07/07/2017,Ordinance approving the petition to establish the City Foundry CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10810
2017-2018,46,Terry Kennedy,07/07/2017,Redevelopment plan for Taylor Delmar Page Kingshighway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10811
2017-2018,47,Jack Coatar,07/07/2017,Real Estate tax abatement for 2325 Ann,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10812
2017-2018,49,Marlene E Davis,07/07/2017,Redevelopment plan for 3904 Folsom,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10814
2017-2018,51,Marlene E Davis,07/07/2017,FY17 Capital Improvement Projects,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10816
2017-2018,54,Joseph Vollmer,07/07/2017,Ordinance to issue Taxable Industrial Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10819
2017-2018,62,Scott Ogilvie,07/07/2017,Vacation of alley at Eitman Sulphur Columbia and Clifton Park Terrace,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10827
2017-2018,63,Jack Coatar,07/07/2017,Vacation of alley at bounded by Hickory Grattan Park and Dolman,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10828
2017-2018,64,John Collins-Muhammad,07/07/2017,Redevelopment plan for 4025 Shreve,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10829
