session,bbid,sponsor,date of vote, title, url
2015-2016,264,Joseph D Roddy,03/04/2016,Air rights at the sidewalk on Children's Place west of Taylor,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10384
2015-2016,274,Lyda Krewson,03/04/2016,Transferring funds to Airport Revenue Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10394
2015-2016,282,Christine Ingrassia,03/04/2016,An ordinance repealing the financing agreement with the Regional Convention and Sports Complex Authority,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10402
2015-2016,285,Kenneth Ortmann,03/04/2016,Traffic Management Enhancement bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10405
2015-2016,279,Jack Coatar,02/26/2016,Prohibiting truck traffic on Russell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10399
2015-2016,281,Marlene E Davis,02/26/2016,Renaming 700 block of North Spring to Leon Henderson Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10401
2015-2016,283,Sharon Tyus,02/26/2016,Closing of Terry Av. at Kingshighway Memorial Blvd.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10403
2015-2016,297,Samuel L Moore,02/26/2016,Renaming 4600 Page as "Rev. Dr. Ronald L. Bobo Sr. Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10417
2015-2016,298,Samuel L Moore,02/26/2016,Renaming 4200 Kennerly as "Bishop Robert J. Ward Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10418
2015-2016,304,Samuel L Moore,02/26/2016,Ordinance establishing a stop sight on Page and Marcus,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10424
2015-2016,202,Joseph Vollmer,01/29/2016,Lease of 5151 Northrup Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10312
2015-2016,230,Kenneth Ortmann,01/29/2016,Redevelopment plan for 2865 Lemp,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10341
2015-2016,231,Stephen Conway,01/29/2016,Redevelopment plan for 4129 Cleveland,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10342
2015-2016,232,Christine Ingrassia,01/29/2016,Redevelopment plan for 2618 Lafayette,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10343
2015-2016,234,Jeffrey L Boyd,01/29/2016,Redevelopment plan for 1318 Hodiamont,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10354
2015-2016,239,Kenneth Ortmann,01/29/2016,Redevelopment plan for 3011 Missouri,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10359
2015-2016,240,Joseph D Roddy,01/29/2016,Redevelopment plan for 4249 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10360
2015-2016,241,Jack Coatar,01/29/2016,Redevelopment plan for 919-21 Ann,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10361
2015-2016,242,Jack Coatar,01/29/2016,Redevelopment plan for 2217-21 S. 10th Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10362
2015-2016,243,Jack Coatar,01/29/2016,Redevelopment plan for 1900-08 Lafayette,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10363
2015-2016,244,Scott Ogilvie,01/29/2016,Redevelopment plan for 1243 Graham,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10364
2015-2016,254,Samuel L Moore,01/29/2016,Prohibiting liquor in the 4th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10374
2015-2016,256,Megan E. Green,01/29/2016,Redevelopment plan for 3504 McKean Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10376
2015-2016,257,Megan E. Green,01/29/2016,Redevelopment plan for 3610-12 Bamberger,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10377
2015-2016,258,Jack Coatar,01/29/2016,Redevelopment plan for 2401-05 S. 9th,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10378
2015-2016,259,Jack Coatar,01/29/2016,Redevelopment plan for 2345 Russell Blvd.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10379
2015-2016,266,Joseph Vaccaro,01/29/2016,Amendment QECB Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10386
2015-2016,272,Joseph D Roddy,01/29/2016,Redevelopment plan for 4212 Chouteau,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10392
2015-2016,273,Megan E. Green,01/29/2016,Redevelopment plan for 3708 Humphry,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10393
2015-2016,276,Joseph Vollmer,01/29/2016,Redevelopment plan for 2123 Marconi,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10396
2015-2016,277,Christine Ingrassia,01/29/2016,Redevelopment plan for 2821 Oregon,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10397
2015-2016,278,Kenneth Ortmann,01/29/2016,Redevelopment plan for 3328 Lemp,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10398
2015-2016,178,Terry Kennedy,01/26/2016,Quit Claim for 1029 N. Spring,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10263
2015-2016,251,Marlene E Davis,01/26/2016,634 N. Grand TIF - plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10371
2015-2016,252,Marlene E Davis,01/26/2016,634 N. Grand TIF - Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10372
2015-2016,267,Joseph Vaccaro,01/26/2016,Carnahan Refunding Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10387
2015-2016,269,Samuel L Moore,01/26/2016,Quit Claim to Myrtle Hilliard Davis Comprehensive Health Centers,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10388
2015-2016,268,Scott Ogilvie,01/26/2016,25M GO Bond,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10389
2015-2016,247,Jeffrey L Boyd,01/26/2016,Fire prevention program,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10367
2015-2016,226,Samuel L Moore,01/22/2016,Redevelopment plan for 4626-46704625-4631 and 4647-4663 St. Ferdinand Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10337
2015-2016,233,Tammika Hubbard,01/22/2016,Zoning change for 2311-2341 Carr,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10353
2015-2016,238,Lyda Krewson,01/22/2016,Redevelopment plan for 5301-13 Pershing,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10358
2015-2016,245,Stephen Conway,01/22/2016,Redevelopment plan for 4150 Shenandoah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10365
2015-2016,250,Cara Spencer,01/22/2016,Rezoning 2748-54 Chippewa,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10370
2015-2016,255,Marlene E Davis,01/22/2016,634 N. Grand TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10375
2015-2016,265,Stephen Conway,01/22/2016,Earnings Tax,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10385
2015-2016,127,Samuel L Moore,01/15/2016,Ordinance making Cottage Av. one-way from Cora Av. to N. Taylor Av.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10037
2015-2016,191,Frank Williamson,01/15/2016,Ordinance to block Arlington at Clemens Place,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10298
2015-2016,249,Sharon Tyus,01/15/2016,Honorarily designating 5000 - 5400 blocks of Shreve Ave. as Reverend Donald Hunter Lane,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10369
2015-2016,219,Tammika Hubbard,12/18/2015,Stadium Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10330
2015-2016,237,Thomas A Villa,12/18/2015,Amendment to Carondelet Commons Redevelopment Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10357
2015-2016,246,Frank Williamson,12/18/2015,Liquor moratorium for the 26th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10366
2015-2016,190,Joseph Vollmer,12/15/2015,Prohibiting liquor in the 10th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10297
2015-2016,171,Jack Coatar,12/11/2015,Vacation of n/s alley bounded by Poplar Fourth Cerre Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10217
2015-2016,180,Jack Coatar,12/11/2015,Redevelopment plan for 2268 S. Jefferson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10282
2015-2016,181,Jack Coatar,12/11/2015,Redevelopment plan for 2242 Shenandoah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10283
2015-2016,187,Stephen Conway,12/11/2015,Redevelopment plan for 4020 Russell Blvd.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10290
2015-2016,188,Beth Murphy,12/11/2015,Redevelopment plan for 4309 Gertrude,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10291
2015-2016,189,Thomas A Villa,12/11/2015,Redevelopment plan for 6329 Minnesota,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10292
2015-2016,205,Jeffrey L Boyd,12/11/2015,Zoning change for 5239R Goodfellow,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10315
2015-2016,215,Joseph D Roddy,12/11/2015,4494 Lindell TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10326
2015-2016,218,Joseph D Roddy,12/11/2015,32 N. Euclid TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10329
2015-2016,222,Joseph Vollmer,12/11/2015,Redevelopment plan for 4339 Juniata,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10333
2015-2016,223,Joseph Vollmer,12/11/2015,Redevelopment plan for 4418-4420 Connecticut,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10334
2015-2016,224,Joseph Vollmer,12/11/2015,Redevelopment plan for 2733 January,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10335
2015-2016,225,Stephen Conway,12/11/2015,Redevelopment plan for 3800 Shaw,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10336
2015-2016,227,Terry Kennedy,12/11/2015,Redevelopment plan for 4245-4259 Lindell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10338
2015-2016,228,Terry Kennedy,12/11/2015,Redevelopment plan for 625 N. Euclid,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10339
2015-2016,229,Stephen Conway,12/11/2015,General Obligation Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10340
2015-2016,105,Marlene E Davis,11/20/2015,Vacation of Laclede Ave. from Grand to Spring,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=9965
2015-2016,186,Chris Carter,11/20/2015,Redevelopment plan for 5626 West Florissant,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10289
2015-2016,201,Marlene E Davis,11/20/2015,Lease for 929 N. Spring to Urban League,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10311
2015-2016,206,Megan E. Green,11/20/2015,Redevelopment plan for 3600 Bamberger,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10316
2015-2016,220,Dionne Flowers,11/20/2015,Byrne Health Dept. Grant,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10331
2015-2016,221,Dionne Flowers,11/20/2015,Public Health Emergency Preparedness,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10332
2015-2016,47,Antonio D French,11/13/2015,Zoning change for 4433 Marcus,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=9870
2015-2016,194,Lyda Krewson,11/13/2015,Public Works/CIP Projects & Equipment list,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10304
2015-2016,195,Lyda Krewson,11/13/2015,Authorizing public works emergency building & environs,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10305
2015-2016,196,Lyda Krewson,11/13/2015,Trans funds emergency repair and replacement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10306
2015-2016,197,Lyda Krewson,11/13/2015,Lease with Trico,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10307
2015-2016,198,Lyda Krewson,11/13/2015,Electronics Retail Concession Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10308
2015-2016,199,Lyda Krewson,11/13/2015,Space permit with Outfront Media LLC,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10309
2015-2016,203,Chris Carter,11/13/2015,Bond Reduction,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10313
2015-2016,204,Dionne Flowers,11/13/2015,Grant for $49000 for eHome Repair,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10314
2015-2016,210,Joseph D Roddy,11/13/2015,Dissolving allocation fund for Chemical Bldg,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10321
2015-2016,211,Joseph D Roddy,11/13/2015,Dissolving allocation fund for Jefferson Arms,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10322
2015-2016,212,Joseph D Roddy,11/13/2015,TIF projects making progress,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10323
2015-2016,213,Joseph D Roddy,11/13/2015,4494 Lindell TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10324
2015-2016,214,Joseph D Roddy,11/13/2015,4494 Lindell TIF agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10325
2015-2016,216,Joseph D Roddy,11/13/2015,32 N. Euclid TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10327
2015-2016,217,Joseph D Roddy,11/13/2015,32 N. Euclid TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10328
2015-2016,192,Frank Williamson,11/13/2015,Ordinance pertaining to Employees Retirement System,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10302
2015-2016,109,Scott Ogilvie,11/06/2015,Ordinance pertaining to the regulation of home occupations,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=9975
2015-2016,179,Joseph D Roddy,11/06/2015,2016 CDBG HOME ESG and HOPWA funds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10352
2015-2016,183,Jack Coatar,11/06/2015,Renaming N. 3rd St. to Lumiere Place,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10285
2015-2016,208,Frank Williamson,11/06/2015,Gun Diversion Grant,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10318
2015-2016,76,Marlene E Davis,10/30/2015,Ordinance regarding Maya Angelou's birthplace,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=9933
2015-2016,141,Cara Spencer,10/30/2015,Vacate travel at Judith Court,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10172
2015-2016,184,Marlene E Davis,10/30/2015,Renaming 1300 N. Garrison as,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10286
2015-2016,185,Marlene E Davis,10/30/2015,Renaming 1300 N. Garrison as Miss Tillie's Corner,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10288
2015-2016,163,Terry Kennedy,10/23/2015,Zoning change for 4202 & 4148 - 4200,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10196
2015-2016,164,Marlene E Davis,10/23/2015,Zoning change for 1607R & 1617 Tower Grove,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10197
2015-2016,165,Terry Kennedy,10/23/2015,Zoning change for 4960R Fountain,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10211
2015-2016,166,Freeman M Bosley Sr.,10/23/2015,Zoning change for Morning Star Church,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10212
2015-2016,167,Dionne Flowers,10/23/2015,Zoning change for 8975 & 8979 Riverview,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10213
2015-2016,168,Jack Coatar,10/23/2015,Zoning change for 2117-31 S. 7th Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10214
2015-2016,169,Samuel L Moore,10/23/2015,Zoning change for 4232 W. Dr. Martin Luther King Drive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10215
2015-2016,170,Samuel L Moore,10/23/2015,Zoning change for 4110 & 4136 Evans,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10216
2015-2016,182,Joseph D Roddy,10/23/2015,Chapter 100 Industrial Revenue Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10284
2015-2016,115,Lewis E Reed,10/16/2015,Ordinance pertaining to Recreation Centers,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=9981
2015-2016,161,Frank Williamson,10/16/2015,Redevelopment plan for 5510-26 Pershing,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10194
2015-2016,160,Joseph D Roddy,10/16/2015,Cortex blighting bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10210
2015-2016,176,Lyda Krewson,10/16/2015,Soldiers Memorial Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10261
2015-2016,177,Marlene E Davis,10/16/2015,Quit Claim for 2732 Dr. Martin Luther King Drive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10262
2015-2016,128,Marlene E Davis,10/09/2015,Redevelopment plan for 1701 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10040
2015-2016,129,Jack Coatar,10/09/2015,Redevelopment plan for 405 Washington,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10041
2015-2016,130,Megan E. Green,10/09/2015,Redevelopment plan for 3865 Humphrey,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10042
2015-2016,131,Scott Ogilvie,10/09/2015,Redevelopment plan for 5803-37 Dale,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10045
