session,bbid,sponsor,date of vote, title, url
2015-2016,300,Marlene E Davis,04/18/2016,634 N. Grand TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10420
2015-2016,306,Scott Ogilvie,04/18/2016,Zoning change for 7144R Manchester 7155 Lanham,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10426
2015-2016,307,Scott Ogilvie,04/18/2016,Zoning change for 1300-22 Hampton,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10427
2015-2016,321,Jeffrey L Boyd,04/18/2016,Blighting study and redevelopment plan dated February 23 2016 for the Nathaniel Rivers Place Redevelopmen,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10441
2015-2016,323,Jack Coatar,04/18/2016,The Petition Of An Owner Of Certain Real Property To Establish A Community Improvement District Establishing The 705 Olive Community Improvement District Finding A Public Purpose For The Establishment Of The 705 Olive Community Improvement District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10443
2015-2016,209,Christine Ingrassia,03/11/2016,Quit Claim for 2805 Hickory to Vickie Place,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10320
2015-2016,235,Marlene E Davis,03/11/2016,Grand Center Chapter 353 Blighting,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10355
2015-2016,236,Marlene E Davis,03/11/2016,634 N. Grand 353 Development Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10356
2015-2016,270,Joseph D Roddy,03/11/2016,Gerhart Lofts Building Residential Parking District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10390
2015-2016,271,Joseph D Roddy,03/11/2016,Buckingham Court Residential Parking District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10391
2015-2016,275,Terry Kennedy,03/11/2016,Redevelopment plan for 4500-10 Delmar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10395
2015-2016,280,Jeffrey L Boyd,03/11/2016,Clarifications to the Firefighters' Retirement Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10400
2015-2016,284,Sharon Tyus,03/11/2016,Closing Wabada near Union,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10404
2015-2016,286,Kenneth Ortmann,03/11/2016,Redevelopment plan for 3139 Ohio,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10406
2015-2016,287,Kenneth Ortmann,03/11/2016,Redevelopment plan for 3000-3004 Texas,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10407
2015-2016,288,Kenneth Ortmann,03/11/2016,Redevelopment plan for 2813-2815 S. 18th Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10408
2015-2016,289,Kenneth Ortmann,03/11/2016,Redevelopment plan for 2862 Wisconsin,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10409
2015-2016,291,Stephen Conway,03/11/2016,Redevelopment plan for 4200 Cleveland,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10411
2015-2016,292,Stephen Conway,03/11/2016,Redevelopment plan for 4003 Russell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10412
2015-2016,293,Stephen Conway,03/11/2016,Redevelopment plan for 1817 Alfred,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10413
2015-2016,301,Joseph D Roddy,03/11/2016,Redevelopment plan for 4308-10 Swan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10421
2015-2016,302,Joseph D Roddy,03/11/2016,Redevelopment plan for 4101 Laclede,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10422
2015-2016,303,Scott Ogilvie,03/11/2016,Ordinance amending tax abatement for Fairmount Properties,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10423
2015-2016,312,Kenneth Ortmann,03/11/2016,Redevelopment plan for 1817 Lynch,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10432
2015-2016,313,Chris Carter,03/11/2016,Closing North Point at Goodfellow,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10433
2015-2016,314,Joseph D Roddy,03/11/2016,Property improvements on Central Industrial Drive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10434
2015-2016,315,Joseph D Roddy,03/11/2016,Ordinance amending the Revised Code of St. Louis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10435
2015-2016,316,Lyda Krewson,03/11/2016,Redevelopment plan for 6105 Delmar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10436
2015-2016,317,Lyda Krewson,03/11/2016,Ordinance dissolving special allocation fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10437
2015-2016,318,Stephen Conway,03/11/2016,Refuse Facility and Municipal Garage Project,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10438
2015-2016,319,Chris Carter,03/11/2016,Closing Saloma at Woodstock,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10439
2015-2016,309,Scott Ogilvie,03/11/2016,Ordinance requiring online record of Board of Aldermen votes,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10429
2015-2016,320,Donna Baringer,03/11/2016,Closing McCausland at Chippewa,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10440
2015-2016,135,Sharon Tyus,03/11/2016,Vacation of N. Union,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10050
2015-2016,253,Christine Ingrassia,03/04/2016,Locust Central Business District Budget,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10373
2015-2016,260,Joseph D Roddy,03/04/2016,Vacation of Children's Place west of Taylor,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10380
2015-2016,262,Joseph D Roddy,03/04/2016,Air rights at Children's Place west of Taylor,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10382
2015-2016,263,Joseph D Roddy,03/04/2016,Air rights at Taylor south of Children's Place,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10383
