session,bbid,ward,alderperson,vote
2018-2019,202,12,Larry Arnowitz,Did Not Vote
2018-2019,202,16,Tom Oldenburg,Did Not Vote
2018-2019,202,17,Joseph D Roddy,Did Not Vote
2018-2019,202,26,Seat is vacant,Vacant Seat
2018-2019,203,1,Sharon Tyus,Aye
2018-2019,203,2,Lisa Middlebrook,Aye
2018-2019,203,3,Brandon Bosley,Aye
2018-2019,203,4,Samuel L Moore,Aye
2018-2019,203,6,Christine Ingrassia,Aye
2018-2019,203,7,Jack Coatar,Aye
2018-2019,203,8,Annie Rice,Aye
2018-2019,203,9,Dan Guenther,Aye
2018-2019,203,10,Joseph Vollmer,Aye
2018-2019,203,11,Sarah Martin,Aye
2018-2019,203,13,Beth Murphy,Aye
2018-2019,203,14,Carol Howard,Aye
2018-2019,203,15,Megan E. Green,Aye
2018-2019,203,18,Terry Kennedy,Aye
2018-2019,203,19,Marlene E Davis,Aye
2018-2019,203,20,Cara Spencer,Aye
2018-2019,203,21,John Collins-Muhammad,Aye
2018-2019,203,22,Jeffrey L Boyd,Aye
2018-2019,203,23,Joseph Vaccaro,Aye
2018-2019,203,24,Scott Ogilvie,Aye
2018-2019,203,25,Shane Cohn,Aye
2018-2019,203,27,Pam Boyd,Aye
2018-2019,203,28,Heather Navarro,Aye
2018-2019,203,President,Lewis E Reed,Aye
2018-2019,203,5,Tammika Hubbard,Did Not Vote
2018-2019,203,12,Larry Arnowitz,Did Not Vote
2018-2019,203,16,Tom Oldenburg,Did Not Vote
2018-2019,203,17,Joseph D Roddy,Did Not Vote
2018-2019,203,26,Seat is vacant,Vacant Seat
2018-2019,204,1,Sharon Tyus,Aye
2018-2019,204,2,Lisa Middlebrook,Aye
2018-2019,204,3,Brandon Bosley,Aye
2018-2019,204,4,Samuel L Moore,Aye
2018-2019,204,6,Christine Ingrassia,Aye
2018-2019,204,7,Jack Coatar,Aye
2018-2019,204,8,Annie Rice,Aye
2018-2019,204,9,Dan Guenther,Aye
2018-2019,204,10,Joseph Vollmer,Aye
2018-2019,204,11,Sarah Martin,Aye
2018-2019,204,13,Beth Murphy,Aye
2018-2019,204,14,Carol Howard,Aye
2018-2019,204,15,Megan E. Green,Aye
2018-2019,204,18,Terry Kennedy,Aye
2018-2019,204,19,Marlene E Davis,Aye
2018-2019,204,20,Cara Spencer,Aye
2018-2019,204,21,John Collins-Muhammad,Aye
2018-2019,204,22,Jeffrey L Boyd,Aye
2018-2019,204,23,Joseph Vaccaro,Aye
2018-2019,204,24,Scott Ogilvie,Aye
2018-2019,204,25,Shane Cohn,Aye
2018-2019,204,27,Pam Boyd,Aye
2018-2019,204,28,Heather Navarro,Aye
2018-2019,204,President,Lewis E Reed,Aye
2018-2019,204,5,Tammika Hubbard,Did Not Vote
2018-2019,204,12,Larry Arnowitz,Did Not Vote
2018-2019,204,16,Tom Oldenburg,Did Not Vote
2018-2019,204,17,Joseph D Roddy,Did Not Vote
2018-2019,204,26,Seat is vacant,Vacant Seat
2018-2019,207,1,Sharon Tyus,Aye
2018-2019,207,2,Lisa Middlebrook,Aye
2018-2019,207,3,Brandon Bosley,Aye
2018-2019,207,4,Samuel L Moore,Aye
2018-2019,207,6,Christine Ingrassia,Aye
2018-2019,207,7,Jack Coatar,Aye
2018-2019,207,8,Annie Rice,Aye
2018-2019,207,9,Dan Guenther,Aye
2018-2019,207,10,Joseph Vollmer,Aye
2018-2019,207,11,Sarah Martin,Aye
2018-2019,207,13,Beth Murphy,Aye
2018-2019,207,14,Carol Howard,Aye
2018-2019,207,15,Megan E. Green,Aye
2018-2019,207,18,Terry Kennedy,Aye
2018-2019,207,19,Marlene E Davis,Aye
2018-2019,207,20,Cara Spencer,Aye
2018-2019,207,21,John Collins-Muhammad,Aye
2018-2019,207,22,Jeffrey L Boyd,Aye
2018-2019,207,23,Joseph Vaccaro,Aye
2018-2019,207,24,Scott Ogilvie,Aye
2018-2019,207,25,Shane Cohn,Aye
2018-2019,207,27,Pam Boyd,Aye
2018-2019,207,28,Heather Navarro,Aye
2018-2019,207,President,Lewis E Reed,Aye
2018-2019,207,5,Tammika Hubbard,Did Not Vote
2018-2019,207,12,Larry Arnowitz,Did Not Vote
2018-2019,207,16,Tom Oldenburg,Did Not Vote
2018-2019,207,17,Joseph D Roddy,Did Not Vote
2018-2019,207,26,Seat is vacant,Vacant Seat
2018-2019,213,1,Sharon Tyus,Aye
2018-2019,213,2,Lisa Middlebrook,Aye
2018-2019,213,3,Brandon Bosley,Aye
2018-2019,213,4,Samuel L Moore,Aye
2018-2019,213,6,Christine Ingrassia,Aye
2018-2019,213,7,Jack Coatar,Aye
2018-2019,213,8,Annie Rice,Aye
2018-2019,213,9,Dan Guenther,Aye
2018-2019,213,10,Joseph Vollmer,Aye
2018-2019,213,11,Sarah Martin,Aye
2018-2019,213,13,Beth Murphy,Aye
2018-2019,213,14,Carol Howard,Aye
2018-2019,213,15,Megan E. Green,Aye
2018-2019,213,18,Terry Kennedy,Aye
2018-2019,213,19,Marlene E Davis,Aye
2018-2019,213,20,Cara Spencer,Aye
2018-2019,213,21,John Collins-Muhammad,Aye
2018-2019,213,22,Jeffrey L Boyd,Aye
2018-2019,213,23,Joseph Vaccaro,Aye
2018-2019,213,24,Scott Ogilvie,Aye
2018-2019,213,25,Shane Cohn,Aye
2018-2019,213,27,Pam Boyd,Aye
2018-2019,213,28,Heather Navarro,Aye
2018-2019,213,President,Lewis E Reed,Aye
2018-2019,213,5,Tammika Hubbard,Did Not Vote
2018-2019,213,12,Larry Arnowitz,Did Not Vote
2018-2019,213,16,Tom Oldenburg,Did Not Vote
2018-2019,213,17,Joseph D Roddy,Did Not Vote
2018-2019,213,26,Seat is vacant,Vacant Seat
2018-2019,214,1,Sharon Tyus,Aye
2018-2019,214,2,Lisa Middlebrook,Aye
2018-2019,214,3,Brandon Bosley,Aye
2018-2019,214,4,Samuel L Moore,Aye
2018-2019,214,6,Christine Ingrassia,Aye
2018-2019,214,7,Jack Coatar,Aye
2018-2019,214,8,Annie Rice,Aye
2018-2019,214,9,Dan Guenther,Aye
2018-2019,214,10,Joseph Vollmer,Aye
2018-2019,214,11,Sarah Martin,Aye
2018-2019,214,13,Beth Murphy,Aye
2018-2019,214,14,Carol Howard,Aye
2018-2019,214,15,Megan E. Green,Aye
2018-2019,214,18,Terry Kennedy,Aye
2018-2019,214,19,Marlene E Davis,Aye
2018-2019,214,20,Cara Spencer,Aye
2018-2019,214,21,John Collins-Muhammad,Aye
2018-2019,214,22,Jeffrey L Boyd,Aye
2018-2019,214,23,Joseph Vaccaro,Aye
2018-2019,214,24,Scott Ogilvie,Aye
2018-2019,214,25,Shane Cohn,Aye
2018-2019,214,27,Pam Boyd,Aye
2018-2019,214,28,Heather Navarro,Aye
2018-2019,214,President,Lewis E Reed,Aye
2018-2019,214,5,Tammika Hubbard,Did Not Vote
2018-2019,214,12,Larry Arnowitz,Did Not Vote
2018-2019,214,16,Tom Oldenburg,Did Not Vote
2018-2019,214,17,Joseph D Roddy,Did Not Vote
2018-2019,214,26,Seat is vacant,Vacant Seat
2018-2019,223,1,Sharon Tyus,Aye
2018-2019,223,2,Lisa Middlebrook,Aye
2018-2019,223,3,Brandon Bosley,Aye
2018-2019,223,4,Samuel L Moore,Aye
2018-2019,223,6,Christine Ingrassia,Aye
2018-2019,223,7,Jack Coatar,Aye
2018-2019,223,8,Annie Rice,Aye
2018-2019,223,9,Dan Guenther,Aye
2018-2019,223,10,Joseph Vollmer,Aye
2018-2019,223,11,Sarah Martin,Aye
2018-2019,223,13,Beth Murphy,Aye
2018-2019,223,14,Carol Howard,Aye
2018-2019,223,15,Megan E. Green,Aye
2018-2019,223,18,Terry Kennedy,Aye
2018-2019,223,19,Marlene E Davis,Aye
2018-2019,223,20,Cara Spencer,Aye
2018-2019,223,21,John Collins-Muhammad,Aye
2018-2019,223,22,Jeffrey L Boyd,Aye
2018-2019,223,23,Joseph Vaccaro,Aye
2018-2019,223,24,Scott Ogilvie,Aye
2018-2019,223,25,Shane Cohn,Aye
2018-2019,223,27,Pam Boyd,Aye
2018-2019,223,28,Heather Navarro,Aye
2018-2019,223,President,Lewis E Reed,Aye
2018-2019,223,5,Tammika Hubbard,Did Not Vote
2018-2019,223,12,Larry Arnowitz,Did Not Vote
2018-2019,223,16,Tom Oldenburg,Did Not Vote
2018-2019,223,17,Joseph D Roddy,Did Not Vote
2018-2019,223,26,Seat is vacant,Vacant Seat
2018-2019,224,1,Sharon Tyus,Aye
2018-2019,224,2,Lisa Middlebrook,Aye
2018-2019,224,3,Brandon Bosley,Aye
2018-2019,224,4,Samuel L Moore,Aye
2018-2019,224,6,Christine Ingrassia,Aye
2018-2019,224,7,Jack Coatar,Aye
2018-2019,224,8,Annie Rice,Aye
2018-2019,224,9,Dan Guenther,Aye
2018-2019,224,10,Joseph Vollmer,Aye
2018-2019,224,11,Sarah Martin,Aye
2018-2019,224,13,Beth Murphy,Aye
2018-2019,224,14,Carol Howard,Aye
2018-2019,224,15,Megan E. Green,Aye
2018-2019,224,18,Terry Kennedy,Aye
2018-2019,224,19,Marlene E Davis,Aye
2018-2019,224,20,Cara Spencer,Aye
2018-2019,224,21,John Collins-Muhammad,Aye
2018-2019,224,22,Jeffrey L Boyd,Aye
2018-2019,224,23,Joseph Vaccaro,Aye
2018-2019,224,24,Scott Ogilvie,Aye
2018-2019,224,25,Shane Cohn,Aye
2018-2019,224,27,Pam Boyd,Aye
2018-2019,224,28,Heather Navarro,Aye
2018-2019,224,President,Lewis E Reed,Aye
2018-2019,224,5,Tammika Hubbard,Did Not Vote
2018-2019,224,12,Larry Arnowitz,Did Not Vote
2018-2019,224,16,Tom Oldenburg,Did Not Vote
2018-2019,224,17,Joseph D Roddy,Did Not Vote
2018-2019,224,26,Seat is vacant,Vacant Seat
2018-2019,225,1,Sharon Tyus,Aye
2018-2019,225,2,Lisa Middlebrook,Aye
2018-2019,225,3,Brandon Bosley,Aye
2018-2019,225,4,Samuel L Moore,Aye
2018-2019,225,6,Christine Ingrassia,Aye
2018-2019,225,7,Jack Coatar,Aye
2018-2019,225,8,Annie Rice,Aye
2018-2019,225,9,Dan Guenther,Aye
2018-2019,225,10,Joseph Vollmer,Aye
2018-2019,225,11,Sarah Martin,Aye
2018-2019,225,13,Beth Murphy,Aye
2018-2019,225,14,Carol Howard,Aye
2018-2019,225,15,Megan E. Green,Aye
2018-2019,225,18,Terry Kennedy,Aye
2018-2019,225,19,Marlene E Davis,Aye
2018-2019,225,20,Cara Spencer,Aye
2018-2019,225,21,John Collins-Muhammad,Aye
2018-2019,225,22,Jeffrey L Boyd,Aye
2018-2019,225,23,Joseph Vaccaro,Aye
2018-2019,225,24,Scott Ogilvie,Aye
2018-2019,225,25,Shane Cohn,Aye
2018-2019,225,27,Pam Boyd,Aye
2018-2019,225,28,Heather Navarro,Aye
2018-2019,225,President,Lewis E Reed,Aye
2018-2019,225,5,Tammika Hubbard,Did Not Vote
2018-2019,225,12,Larry Arnowitz,Did Not Vote
2018-2019,225,16,Tom Oldenburg,Did Not Vote
2018-2019,225,17,Joseph D Roddy,Did Not Vote
2018-2019,225,26,Seat is vacant,Vacant Seat
2018-2019,226,1,Sharon Tyus,Aye
2018-2019,226,2,Lisa Middlebrook,Aye
2018-2019,226,3,Brandon Bosley,Aye
2018-2019,226,4,Samuel L Moore,Aye
2018-2019,226,6,Christine Ingrassia,Aye
2018-2019,226,7,Jack Coatar,Aye
2018-2019,226,8,Annie Rice,Aye
2018-2019,226,9,Dan Guenther,Aye
2018-2019,226,10,Joseph Vollmer,Aye
2018-2019,226,11,Sarah Martin,Aye
2018-2019,226,13,Beth Murphy,Aye
2018-2019,226,14,Carol Howard,Aye
2018-2019,226,15,Megan E. Green,Aye
2018-2019,226,18,Terry Kennedy,Aye
2018-2019,226,19,Marlene E Davis,Aye
2018-2019,226,20,Cara Spencer,Aye
2018-2019,226,21,John Collins-Muhammad,Aye
2018-2019,226,22,Jeffrey L Boyd,Aye
2018-2019,226,23,Joseph Vaccaro,Aye
2018-2019,226,24,Scott Ogilvie,Aye
2018-2019,226,25,Shane Cohn,Aye
2018-2019,226,27,Pam Boyd,Aye
2018-2019,226,28,Heather Navarro,Aye
2018-2019,226,President,Lewis E Reed,Aye
2018-2019,226,5,Tammika Hubbard,Did Not Vote
2018-2019,226,12,Larry Arnowitz,Did Not Vote
2018-2019,226,16,Tom Oldenburg,Did Not Vote
2018-2019,226,17,Joseph D Roddy,Did Not Vote
2018-2019,226,26,Seat is vacant,Vacant Seat
2018-2019,228,1,Sharon Tyus,Aye
2018-2019,228,2,Lisa Middlebrook,Aye
2018-2019,228,3,Brandon Bosley,Aye
2018-2019,228,4,Samuel L Moore,Aye
2018-2019,228,6,Christine Ingrassia,Aye
2018-2019,228,7,Jack Coatar,Aye
2018-2019,228,8,Annie Rice,Aye
2018-2019,228,9,Dan Guenther,Aye
2018-2019,228,10,Joseph Vollmer,Aye
2018-2019,228,11,Sarah Martin,Aye
2018-2019,228,13,Beth Murphy,Aye
2018-2019,228,14,Carol Howard,Aye
2018-2019,228,15,Megan E. Green,Aye
2018-2019,228,18,Terry Kennedy,Aye
2018-2019,228,19,Marlene E Davis,Aye
2018-2019,228,20,Cara Spencer,Aye
2018-2019,228,21,John Collins-Muhammad,Aye
2018-2019,228,22,Jeffrey L Boyd,Aye
2018-2019,228,23,Joseph Vaccaro,Aye
2018-2019,228,24,Scott Ogilvie,Aye
2018-2019,228,25,Shane Cohn,Aye
2018-2019,228,27,Pam Boyd,Aye
2018-2019,228,28,Heather Navarro,Aye
2018-2019,228,President,Lewis E Reed,Aye
2018-2019,228,5,Tammika Hubbard,Did Not Vote
2018-2019,228,12,Larry Arnowitz,Did Not Vote
2018-2019,228,16,Tom Oldenburg,Did Not Vote
2018-2019,228,17,Joseph D Roddy,Did Not Vote
2018-2019,228,26,Seat is vacant,Vacant Seat
2018-2019,230,1,Sharon Tyus,Aye
2018-2019,230,2,Lisa Middlebrook,Aye
2018-2019,230,3,Brandon Bosley,Aye
2018-2019,230,4,Samuel L Moore,Aye
2018-2019,230,6,Christine Ingrassia,Aye
2018-2019,230,7,Jack Coatar,Aye
2018-2019,230,8,Annie Rice,Aye
2018-2019,230,9,Dan Guenther,Aye
2018-2019,230,10,Joseph Vollmer,Aye
2018-2019,230,11,Sarah Martin,Aye
2018-2019,230,13,Beth Murphy,Aye
2018-2019,230,14,Carol Howard,Aye
2018-2019,230,15,Megan E. Green,Aye
2018-2019,230,18,Terry Kennedy,Aye
2018-2019,230,19,Marlene E Davis,Aye
2018-2019,230,20,Cara Spencer,Aye
2018-2019,230,21,John Collins-Muhammad,Aye
2018-2019,230,22,Jeffrey L Boyd,Aye
2018-2019,230,23,Joseph Vaccaro,Aye
2018-2019,230,24,Scott Ogilvie,Aye
2018-2019,230,25,Shane Cohn,Aye
2018-2019,230,27,Pam Boyd,Aye
2018-2019,230,28,Heather Navarro,Aye
2018-2019,230,President,Lewis E Reed,Aye
2018-2019,230,5,Tammika Hubbard,Did Not Vote
2018-2019,230,12,Larry Arnowitz,Did Not Vote
2018-2019,230,16,Tom Oldenburg,Did Not Vote
2018-2019,230,17,Joseph D Roddy,Did Not Vote
2018-2019,230,26,Seat is vacant,Vacant Seat
2018-2019,101,1,Sharon Tyus,Aye
2018-2019,101,2,Lisa Middlebrook,Aye
2018-2019,101,4,Samuel L Moore,Aye
2018-2019,101,5,Tammika Hubbard,Aye
2018-2019,101,6,Christine Ingrassia,Aye
2018-2019,101,7,Jack Coatar,Aye
2018-2019,101,8,Annie Rice,Aye
2018-2019,101,9,Dan Guenther,Aye
2018-2019,101,11,Sarah Martin,Aye
2018-2019,101,12,Larry Arnowitz,Aye
2018-2019,101,13,Beth Murphy,Aye
2018-2019,101,14,Carol Howard,Aye
2018-2019,101,17,Joseph D Roddy,Aye
2018-2019,101,18,Terry Kennedy,Aye
2018-2019,101,19,Marlene E Davis,Aye
2018-2019,101,22,Jeffrey L Boyd,Aye
2018-2019,101,23,Joseph Vaccaro,Aye
2018-2019,101,24,Scott Ogilvie,Aye
2018-2019,101,25,Shane Cohn,Aye
2018-2019,101,27,Pam Boyd,Aye
2018-2019,101,28,Heather Navarro,Aye
2018-2019,101,President,Lewis E Reed,Aye
2018-2019,101,3,Brandon Bosley,Did Not Vote
2018-2019,101,15,Megan E. Green,Did Not Vote
2018-2019,101,21,John Collins-Muhammad,Did Not Vote
2018-2019,101,10,Joseph Vollmer,Absent
2018-2019,101,16,Tom Oldenburg,Absent
2018-2019,101,20,Cara Spencer,Absent
2018-2019,101,26,Seat is vacant,Vacant Seat
2018-2019,161,1,Sharon Tyus,Aye
2018-2019,161,2,Lisa Middlebrook,Aye
2018-2019,161,4,Samuel L Moore,Aye
2018-2019,161,5,Tammika Hubbard,Aye
2018-2019,161,6,Christine Ingrassia,Aye
2018-2019,161,7,Jack Coatar,Aye
2018-2019,161,8,Annie Rice,Aye
2018-2019,161,9,Dan Guenther,Aye
2018-2019,161,11,Sarah Martin,Aye
2018-2019,161,12,Larry Arnowitz,Aye
2018-2019,161,13,Beth Murphy,Aye
2018-2019,161,14,Carol Howard,Aye
2018-2019,161,17,Joseph D Roddy,Aye
2018-2019,161,18,Terry Kennedy,Aye
2018-2019,161,19,Marlene E Davis,Aye
2018-2019,161,22,Jeffrey L Boyd,Aye
2018-2019,161,23,Joseph Vaccaro,Aye
2018-2019,161,24,Scott Ogilvie,Aye
2018-2019,161,25,Shane Cohn,Aye
2018-2019,161,27,Pam Boyd,Aye
2018-2019,161,28,Heather Navarro,Aye
2018-2019,161,President,Lewis E Reed,Aye
2018-2019,161,3,Brandon Bosley,Did Not Vote
2018-2019,161,15,Megan E. Green,Did Not Vote
2018-2019,161,21,John Collins-Muhammad,Did Not Vote
2018-2019,161,10,Joseph Vollmer,Absent
2018-2019,161,16,Tom Oldenburg,Absent
2018-2019,161,20,Cara Spencer,Absent
2018-2019,161,26,Seat is vacant,Vacant Seat
2018-2019,190,1,Sharon Tyus,Aye
2018-2019,190,2,Lisa Middlebrook,Aye
2018-2019,190,4,Samuel L Moore,Aye
2018-2019,190,5,Tammika Hubbard,Aye
2018-2019,190,6,Christine Ingrassia,Aye
2018-2019,190,7,Jack Coatar,Aye
2018-2019,190,8,Annie Rice,Aye
2018-2019,190,9,Dan Guenther,Aye
2018-2019,190,11,Sarah Martin,Aye
2018-2019,190,12,Larry Arnowitz,Aye
2018-2019,190,13,Beth Murphy,Aye
2018-2019,190,14,Carol Howard,Aye
2018-2019,190,17,Joseph D Roddy,Aye
2018-2019,190,18,Terry Kennedy,Aye
2018-2019,190,19,Marlene E Davis,Aye
2018-2019,190,22,Jeffrey L Boyd,Aye
2018-2019,190,23,Joseph Vaccaro,Aye
2018-2019,190,24,Scott Ogilvie,Aye
2018-2019,190,25,Shane Cohn,Aye
2018-2019,190,27,Pam Boyd,Aye
2018-2019,190,28,Heather Navarro,Aye
2018-2019,190,President,Lewis E Reed,Aye
2018-2019,190,3,Brandon Bosley,Did Not Vote
2018-2019,190,15,Megan E. Green,Did Not Vote
2018-2019,190,21,John Collins-Muhammad,Did Not Vote
2018-2019,190,10,Joseph Vollmer,Absent
2018-2019,190,16,Tom Oldenburg,Absent
2018-2019,190,20,Cara Spencer,Absent
2018-2019,190,26,Seat is vacant,Vacant Seat
2018-2019,193,1,Sharon Tyus,Aye
2018-2019,193,2,Lisa Middlebrook,Aye
2018-2019,193,4,Samuel L Moore,Aye
2018-2019,193,5,Tammika Hubbard,Aye
2018-2019,193,6,Christine Ingrassia,Aye
2018-2019,193,7,Jack Coatar,Aye
2018-2019,193,8,Annie Rice,Aye
2018-2019,193,9,Dan Guenther,Aye
2018-2019,193,11,Sarah Martin,Aye
2018-2019,193,12,Larry Arnowitz,Aye
2018-2019,193,13,Beth Murphy,Aye
2018-2019,193,14,Carol Howard,Aye
2018-2019,193,17,Joseph D Roddy,Aye
2018-2019,193,18,Terry Kennedy,Aye
2018-2019,193,19,Marlene E Davis,Aye
2018-2019,193,22,Jeffrey L Boyd,Aye
2018-2019,193,23,Joseph Vaccaro,Aye
2018-2019,193,24,Scott Ogilvie,Aye
2018-2019,193,25,Shane Cohn,Aye
2018-2019,193,27,Pam Boyd,Aye
2018-2019,193,28,Heather Navarro,Aye
2018-2019,193,President,Lewis E Reed,Aye
2018-2019,193,3,Brandon Bosley,Did Not Vote
2018-2019,193,15,Megan E. Green,Did Not Vote
2018-2019,193,21,John Collins-Muhammad,Did Not Vote
2018-2019,193,10,Joseph Vollmer,Absent
2018-2019,193,16,Tom Oldenburg,Absent
2018-2019,193,20,Cara Spencer,Absent
2018-2019,193,26,Seat is vacant,Vacant Seat
2018-2019,143,1,Sharon Tyus,Aye
2018-2019,143,2,Lisa Middlebrook,Aye
2018-2019,143,4,Samuel L Moore,Aye
2018-2019,143,5,Tammika Hubbard,Aye
2018-2019,143,6,Christine Ingrassia,Aye
2018-2019,143,7,Jack Coatar,Aye
2018-2019,143,10,Joseph Vollmer,Aye
2018-2019,143,11,Sarah Martin,Aye
2018-2019,143,12,Larry Arnowitz,Aye
2018-2019,143,13,Beth Murphy,Aye
2018-2019,143,14,Carol Howard,Aye
2018-2019,143,15,Megan E. Green,Aye
2018-2019,143,16,Tom Oldenburg,Aye
2018-2019,143,17,Joseph D Roddy,Aye
2018-2019,143,18,Terry Kennedy,Aye
2018-2019,143,19,Marlene E Davis,Aye
2018-2019,143,20,Cara Spencer,Aye
2018-2019,143,22,Jeffrey L Boyd,Aye
2018-2019,143,23,Joseph Vaccaro,Aye
2018-2019,143,24,Scott Ogilvie,Aye
2018-2019,143,25,Shane Cohn,Aye
2018-2019,143,27,Pam Boyd,Aye
2018-2019,143,28,Heather Navarro,Aye
2018-2019,143,President,Lewis E Reed,Aye
2018-2019,143,3,Brandon Bosley,Did Not Vote
2018-2019,143,9,Dan Guenther,Did Not Vote
2018-2019,143,21,John Collins-Muhammad,Did Not Vote
2018-2019,143,8,Annie Rice,Absent
2018-2019,143,26,Seat is vacant,Vacant Seat
2018-2019,148,1,Sharon Tyus,Aye
2018-2019,148,2,Lisa Middlebrook,Aye
2018-2019,148,4,Samuel L Moore,Aye
2018-2019,148,5,Tammika Hubbard,Aye
2018-2019,148,6,Christine Ingrassia,Aye
2018-2019,148,7,Jack Coatar,Aye
2018-2019,148,10,Joseph Vollmer,Aye
2018-2019,148,11,Sarah Martin,Aye
2018-2019,148,12,Larry Arnowitz,Aye
2018-2019,148,13,Beth Murphy,Aye
2018-2019,148,14,Carol Howard,Aye
2018-2019,148,15,Megan E. Green,Aye
2018-2019,148,16,Tom Oldenburg,Aye
2018-2019,148,17,Joseph D Roddy,Aye
2018-2019,148,18,Terry Kennedy,Aye
2018-2019,148,19,Marlene E Davis,Aye
2018-2019,148,20,Cara Spencer,Aye
2018-2019,148,22,Jeffrey L Boyd,Aye
2018-2019,148,23,Joseph Vaccaro,Aye
2018-2019,148,24,Scott Ogilvie,Aye
2018-2019,148,25,Shane Cohn,Aye
2018-2019,148,27,Pam Boyd,Aye
2018-2019,148,28,Heather Navarro,Aye
2018-2019,148,President,Lewis E Reed,Aye
2018-2019,148,3,Brandon Bosley,Did Not Vote
2018-2019,148,9,Dan Guenther,Did Not Vote
2018-2019,148,21,John Collins-Muhammad,Did Not Vote
2018-2019,148,8,Annie Rice,Absent
2018-2019,148,26,Seat is vacant,Vacant Seat
2018-2019,159,1,Sharon Tyus,Aye
2018-2019,159,2,Lisa Middlebrook,Aye
2018-2019,159,4,Samuel L Moore,Aye
2018-2019,159,5,Tammika Hubbard,Aye
2018-2019,159,6,Christine Ingrassia,Aye
2018-2019,159,7,Jack Coatar,Aye
2018-2019,159,10,Joseph Vollmer,Aye
2018-2019,159,11,Sarah Martin,Aye
2018-2019,159,12,Larry Arnowitz,Aye
2018-2019,159,13,Beth Murphy,Aye
2018-2019,159,14,Carol Howard,Aye
2018-2019,159,15,Megan E. Green,Aye
2018-2019,159,16,Tom Oldenburg,Aye
2018-2019,159,17,Joseph D Roddy,Aye
2018-2019,159,18,Terry Kennedy,Aye
2018-2019,159,19,Marlene E Davis,Aye
2018-2019,159,20,Cara Spencer,Aye
2018-2019,159,22,Jeffrey L Boyd,Aye
2018-2019,159,23,Joseph Vaccaro,Aye
2018-2019,159,24,Scott Ogilvie,Aye
2018-2019,159,25,Shane Cohn,Aye
2018-2019,159,27,Pam Boyd,Aye
2018-2019,159,28,Heather Navarro,Aye
2018-2019,159,President,Lewis E Reed,Aye
2018-2019,159,3,Brandon Bosley,Did Not Vote
2018-2019,159,9,Dan Guenther,Did Not Vote
2018-2019,159,21,John Collins-Muhammad,Did Not Vote
2018-2019,159,8,Annie Rice,Absent
2018-2019,159,26,Seat is vacant,Vacant Seat
2018-2019,165,1,Sharon Tyus,Aye
2018-2019,165,2,Lisa Middlebrook,Aye
2018-2019,165,4,Samuel L Moore,Aye
2018-2019,165,5,Tammika Hubbard,Aye
2018-2019,165,6,Christine Ingrassia,Aye
2018-2019,165,7,Jack Coatar,Aye
2018-2019,165,10,Joseph Vollmer,Aye
2018-2019,165,11,Sarah Martin,Aye
2018-2019,165,12,Larry Arnowitz,Aye
2018-2019,165,13,Beth Murphy,Aye
2018-2019,165,14,Carol Howard,Aye
2018-2019,165,15,Megan E. Green,Aye
2018-2019,165,16,Tom Oldenburg,Aye
2018-2019,165,17,Joseph D Roddy,Aye
2018-2019,165,18,Terry Kennedy,Aye
2018-2019,165,19,Marlene E Davis,Aye
2018-2019,165,20,Cara Spencer,Aye
2018-2019,165,22,Jeffrey L Boyd,Aye
2018-2019,165,23,Joseph Vaccaro,Aye
2018-2019,165,24,Scott Ogilvie,Aye
2018-2019,165,25,Shane Cohn,Aye
2018-2019,165,27,Pam Boyd,Aye
2018-2019,165,28,Heather Navarro,Aye
2018-2019,165,President,Lewis E Reed,Aye
2018-2019,165,3,Brandon Bosley,Did Not Vote
2018-2019,165,9,Dan Guenther,Did Not Vote
2018-2019,165,21,John Collins-Muhammad,Did Not Vote
2018-2019,165,8,Annie Rice,Absent
2018-2019,165,26,Seat is vacant,Vacant Seat
2018-2019,178,1,Sharon Tyus,Aye
2018-2019,178,2,Lisa Middlebrook,Aye
2018-2019,178,4,Samuel L Moore,Aye
2018-2019,178,5,Tammika Hubbard,Aye
2018-2019,178,6,Christine Ingrassia,Aye
2018-2019,178,7,Jack Coatar,Aye
2018-2019,178,10,Joseph Vollmer,Aye
2018-2019,178,11,Sarah Martin,Aye
2018-2019,178,12,Larry Arnowitz,Aye
2018-2019,178,13,Beth Murphy,Aye
2018-2019,178,14,Carol Howard,Aye
2018-2019,178,15,Megan E. Green,Aye
2018-2019,178,16,Tom Oldenburg,Aye
2018-2019,178,17,Joseph D Roddy,Aye
2018-2019,178,18,Terry Kennedy,Aye
2018-2019,178,19,Marlene E Davis,Aye
2018-2019,178,20,Cara Spencer,Aye
2018-2019,178,22,Jeffrey L Boyd,Aye
2018-2019,178,23,Joseph Vaccaro,Aye
2018-2019,178,24,Scott Ogilvie,Aye
2018-2019,178,25,Shane Cohn,Aye
2018-2019,178,27,Pam Boyd,Aye
2018-2019,178,28,Heather Navarro,Aye
2018-2019,178,President,Lewis E Reed,Aye
2018-2019,178,3,Brandon Bosley,Did Not Vote
2018-2019,178,9,Dan Guenther,Did Not Vote
2018-2019,178,21,John Collins-Muhammad,Did Not Vote
2018-2019,178,8,Annie Rice,Absent
2018-2019,178,26,Seat is vacant,Vacant Seat
2018-2019,179,1,Sharon Tyus,Aye
2018-2019,179,2,Lisa Middlebrook,Aye
2018-2019,179,4,Samuel L Moore,Aye
2018-2019,179,5,Tammika Hubbard,Aye
2018-2019,179,6,Christine Ingrassia,Aye
