unique_id,session,bbid,sponsor,date of vote, title, url
2016-2017-209,2016-2017,209,Joseph D Roddy,02/03/2017,vacation of alley at Hickory Grand Rutger Spring,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10657
2016-2017-210,2016-2017,210,Jack Coatar,02/03/2017,vacation of alley at Papin Tucker Chouteau 13th,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10658
2016-2017-211,2016-2017,211,Jack Coatar,02/03/2017,vacation of alley at Lombard 3rd Chouteau 4th,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10659
2016-2017-212,2016-2017,212,Joseph Vollmer,02/03/2017,vacation of alley at Kemper from Hereford westwardly,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10660
2016-2017-223,2016-2017,223,Marlene E Davis,02/03/2017,Vacation of alley at Samuel Shepard Leonard Washington Josephine Baker,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10671
2016-2017-224,2016-2017,224,Joseph D Roddy,02/03/2017,Vacation of Sublette from Wise southward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10672
2016-2017-253,2016-2017,253,Lyda Krewson,02/03/2017,Property sale to City of Kinloch,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10701
2016-2017-254,2016-2017,254,Lyda Krewson,02/03/2017,Property sale to Metropolitan Missionary Baptist Church LLC,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10702
2016-2017-255,2016-2017,255,Lyda Krewson,02/03/2017,2nd lease agreement with Jet Linx St Louis LLC,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10703
2016-2017-256,2016-2017,256,Lyda Krewson,02/03/2017,Agreement with BLAC Bi-National Gateway & St. Louis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10704
2016-2017-257,2016-2017,257,Tammika Hubbard,02/03/2017,Choice Implementation Grant Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10705
2016-2017-258,2016-2017,258,Jack Coatar,02/03/2017,501 Olive CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10706
2016-2017-262,2016-2017,262,Tammika Hubbard,02/03/2017,vacation of alley at Delmar 14th Lucas 15th,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10710
2016-2017-264,2016-2017,264,Marlene E Davis,02/03/2017,vacation of alley at Dr. Martin Luther King Drive 20th Delmar 21st,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10712
2016-2017-265,2016-2017,265,Scott Ogilvie,02/03/2017,vacation of alley at Kraft Wise Louisville Park,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10713
2016-2017-267,2016-2017,267,Jack Coatar,02/03/2017,Ordinance pertaining to City Housing Conservation Program,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10715
2016-2017-268,2016-2017,268,Joseph D Roddy,02/03/2017,Chouteau - Newstead Parking District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10716
2016-2017-271,2016-2017,271,Jack Coatar,02/03/2017,Amend blighting plan or 11th Clark 8th Poplar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10719
2016-2017-272,2016-2017,272,Lyda Krewson,02/03/2017,Redevelopment plan for 6201 Delmar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10720
2016-2017-273,2016-2017,273,Joseph Vollmer,02/03/2017,Redevelopment plan for 5217 Botanical,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10721
2016-2017-274,2016-2017,274,Joseph Vollmer,02/03/2017,Redevelopment plan for 5214 Wilson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10722
