unique_id,session,bbid,sponsor,date of vote, title, url
2016-2017-150,2016-2017,150,Tammika Hubbard,10/28/2016,Tucker and Cass CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10597
2016-2017-110,2016-2017,110,Joseph D Roddy,10/28/2016,Zoning Change 1315-39 S. Grand & 3632 Rutger 3656 Hickory  and 1101 & 1121-27 S. Grand1126 Motard,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10557
2016-2017-119,2016-2017,119,Samuel L Moore,10/28/2016,Redevelopment plan for 4308-4324 Dr. Martin Luther King,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10566
2016-2017-125,2016-2017,125,Christine Ingrassia,10/28/2016,Ordinance amending Mill Creek Valley Redevelopment Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10572
2016-2017-137,2016-2017,137,Christine Ingrassia,10/28/2016,Redevelopment plan for 2217 Locust Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10584
2016-2017-104,2016-2017,104,Lyda Krewson,10/14/2016,Name Change of public airport/landing field,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10551
2016-2017-108,2016-2017,108,Chris Carter,10/14/2016,PARKING REVENUE BONDS SERIES 2016 (TAX-EXEMPT),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10555
2016-2017-112,2016-2017,112,Kenneth Ortmann,10/14/2016,Redevelopment plan for 2000-2002 Wyoming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10559
2016-2017-113,2016-2017,113,Christine Ingrassia,10/14/2016,Redevelopment plan for 2723 Allen,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10560
2016-2017-114,2016-2017,114,Christine Ingrassia,10/14/2016,Redevelopment plan for 3425 Magnolia,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10561
2016-2017-115,2016-2017,115,Joseph Vollmer,10/14/2016,Redevelopment plan for 5378-5390 Southwest,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10562
2016-2017-116,2016-2017,116,Joseph Vollmer,10/14/2016,Redevelopment plan for 5214 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10563
2016-2017-117,2016-2017,117,Stephen Conway,10/14/2016,Redevelopment plan for 3942 Flad,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10564
2016-2017-118,2016-2017,118,Shane Cohn,10/14/2016,Redevelopment plan for 3858 Bamberger,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10565
2016-2017-120,2016-2017,120,Frank Williamson,10/14/2016,Redevelopment plan for 5804-08 Westminster Pl.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10567
2016-2017-122,2016-2017,122,Jack Coatar,10/14/2016,Redevelopment plan for 2329 Ann,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10569
2016-2017-123,2016-2017,123,Jack Coatar,10/14/2016,Redevelopment plan for 2212-30 Shenandoah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10570
2016-2017-124,2016-2017,124,Lyda Krewson,10/14/2016,Redevelopment plan for 5766 Pershing,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10571
2016-2017-128,2016-2017,128,Joseph D Roddy,10/14/2016,Redevelopment plan for 4176 Manchester,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10575
2016-2017-129,2016-2017,129,Joseph D Roddy,10/14/2016,Redevelopment plan for 4311 15 45 and 58 Hunt,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10576
2016-2017-130,2016-2017,130,Joseph D Roddy,10/14/2016,Redevelopment plan for 1211 Tower Grove,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10577
2016-2017-131,2016-2017,131,Joseph D Roddy,10/14/2016,Redevelopment plan for 4230 Chouteau and 4247 & 4335 Arco,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10578
2016-2017-133,2016-2017,133,Scott Ogilvie,10/14/2016,Redevelopment plan for 1615 Hampton,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10580
2016-2017-135,2016-2017,135,Scott Ogilvie,10/14/2016,Redevelopment plan for 6718 Dale,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10582
2016-2017-138,2016-2017,138,Christine Ingrassia,10/14/2016,Redevelopment plan for Fox Park/ Benton Park West,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10585
2016-2017-141,2016-2017,141,Marlene E Davis,10/14/2016,Redevelopment plan for 2926-36 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10588
2016-2017-106,2016-2017,106,Stephen Conway,10/14/2016,General Obligation Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10553
2016-2017-103,2016-2017,103,Joseph Vaccaro,10/07/2016,stop site for all northbound and southbound traffic on Sulphur at Potomac,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10550
2016-2017-105,2016-2017,105,Carol Howard,10/07/2016,naming the real property at the south-southwest intersection of Gravois and Morganford Road,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10552
2016-2017-127,2016-2017,127,Carol Howard,10/07/2016,Ordinance to establish the Bevo CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10574
2016-2017-53,2016-2017,53,Scott Ogilvie,10/07/2016,Ordinance pertaining to campaign contribution limits,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10500
2016-2017-126,2016-2017,126,Donna Baringer,10/07/2016,Travel reporting bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10573
2016-2017-80,2016-2017,80,Joseph D Roddy,09/16/2016,Zoning change for Laclede & Spring parcels,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10527
2016-2017-92,2016-2017,92,Beth Murphy,07/08/2016,Vacation of N/S alley at Terrance/Christy,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10539
2016-2017-94,2016-2017,94,Donna Baringer,07/08/2016,4-way stop at Walsh & Clifton,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10541
2016-2017-99,2016-2017,99,Larry Arnowitz,07/08/2016,Ordinance relating to Office of Recorder of Deeds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10546
2016-2017-62,2016-2017,62,Tammika Hubbard,07/08/2016,Quit Claim to LCRA properties on Cass Madison & Maiden Lane,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10509
2016-2017-49,2016-2017,49,Stephen Conway,07/08/2016,Fifth Amendment to the Memorandum of Agreement with BiState,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10496
2016-2017-46,2016-2017,46,Stephen Conway,07/08/2016,Transit Sales Tax - 1994,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10493
2016-2017-47,2016-2017,47,Stephen Conway,07/08/2016,Transit Sales Tax - 1997,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10494
2016-2017-48,2016-2017,48,Stephen Conway,07/08/2016,Transportation Sales Tax 2016-2017,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10495
2016-2017-93,2016-2017,93,Tammika Hubbard,07/08/2016,Ordinance authorizing Parcel Development Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10540
2016-2017-88,2016-2017,88,Chris Carter,07/08/2016,Ordinance regarding Traffic Calming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10535
2016-2017-1,2016-2017,1,Lewis E Reed,06/30/2016,Budget FY 16-17,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10488
2016-2017-28,2016-2017,28,Jack Coatar,06/30/2016,Redevelopment plan for 705 Olive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10474
2016-2017-33,2016-2017,33,Stephen Conway,06/30/2016,Vacation of Shaw between Kingshighway by Vandeventer,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10479
2016-2017-58,2016-2017,58,Lyda Krewson,06/30/2016,Shoeshine Concession,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10505
2016-2017-59,2016-2017,59,Lyda Krewson,06/30/2016,Bi-National Gateway Terminal,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10506
2016-2017-60,2016-2017,60,Marlene E Davis,06/30/2016,Redevelopment plan for 1207-25 N. Grand and 3610-60 Page,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10507
2016-2017-67,2016-2017,67,Antonio D French,06/30/2016,Transparency in Government,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10514
2016-2017-68,2016-2017,68,Lyda Krewson,06/30/2016,Creation of East Loop CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10515
2016-2017-71,2016-2017,71,Lyda Krewson,06/30/2016,Southwest Lease AL-019,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10518
2016-2017-72,2016-2017,72,Lyda Krewson,06/30/2016,Delta Lease AL-016,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10519
2016-2017-73,2016-2017,73,Kenneth Ortmann,06/30/2016,Redevelopment plan for 3525 Illinois,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10520
2016-2017-74,2016-2017,74,Jack Coatar,06/30/2016,Redevelopment plan for 3127 Shenandoah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10521
2016-2017-75,2016-2017,75,Jack Coatar,06/30/2016,Redevelopment plan for 801-25 Ann,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10522
2016-2017-76,2016-2017,76,Megan E. Green,06/30/2016,Redevelopment plan for 3935-37 Wyoming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10523
2016-2017-77,2016-2017,77,Marlene E Davis,06/30/2016,Redevelopment plan for 3637-51 Washington,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10524
2016-2017-78,2016-2017,78,Cara Spencer,06/30/2016,Redevelopment plan for 3839 Indiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10525
2016-2017-79,2016-2017,79,Cara Spencer,06/30/2016,Redevelopment plan for 3944 Michigan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10526
2016-2017-82,2016-2017,82,Sharon Tyus,06/30/2016,Ordinance to prohibit commercial curb cuts in 4900 block of Terry,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10529
2016-2017-83,2016-2017,83,Sharon Tyus,06/30/2016,Ordinance pertaining to commercial traffic,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10530
2016-2017-84,2016-2017,84,Sharon Tyus,06/30/2016,Honorarily designate 5000-5200 Lotus as Lou "Fatha" Thimes Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10531
2016-2017-86,2016-2017,86,Jack Coatar,06/30/2016,Redevelopment plan for 721 Victor,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10533
2016-2017-87,2016-2017,87,Jack Coatar,06/30/2016,Redevelopment plan for Kosciusko Site,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10534
2016-2017-89,2016-2017,89,Frank Williamson,06/30/2016,Amending Civil Service Ordinance,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10536
2016-2017-90,2016-2017,90,Joseph Vaccaro,06/30/2016,Ordinance establishing 3-way stop at Marquette & Prather,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10537
2016-2017-91,2016-2017,91,Jack Coatar,06/30/2016,Vacation of Barton & 7th Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10538
2016-2017-95,2016-2017,95,Sharon Tyus,06/30/2016,Ordinance prohibiting the installation of any new pole signs,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10542
2016-2017-96,2016-2017,96,Sharon Tyus,06/30/2016,Ordinance to close traffic at Wabada west of Union,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10543
2016-2017-97,2016-2017,97,Sharon Tyus,06/30/2016,Ordinance to close traffic at Terry & Kingshighway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10544
2016-2017-64,2016-2017,64,Marlene E Davis,06/24/2016,Vacation of 17th Street from Washington to St. Charles,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10511
2016-2017-57,2016-2017,57,Lewis E Reed,06/24/2016,Ordinance calling for a proposal to levy property tax,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10504
2016-2017-55,2016-2017,55,Freeman M Bosley Sr.,06/17/2016,Parking Division Budget,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10502
2016-2017-30,2016-2017,30,Jack Coatar,06/17/2016,Ordinance pertaining to vendors on the Wharf,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10476
2016-2017-11,2016-2017,11,Jack Coatar,06/10/2016,Zoning change for Downtown and Lasalle,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10457
2016-2017-32,2016-2017,32,Marlene E Davis,06/10/2016,Establishing the Grand Center Area Two Community Improvement District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10478
2016-2017-35,2016-2017,35,Tammika Hubbard,06/10/2016,Redevelopment plan for 1600-1742 Washington,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10481
2016-2017-45,2016-2017,45,Marlene E Davis,06/10/2016,Amending tax abatement for Shepard Apartments Redevelopment Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10492
2016-2017-51,2016-2017,51,Joseph D Roddy,06/10/2016,Establishing 4101 Laclede Community Improvement District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10498
2016-2017-65,2016-2017,65,Frank Williamson,06/10/2016,Civil Service Pay Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10512
2016-2017-40,2016-2017,40,Cara Spencer,06/10/2016,Ordinance pertaining to drug related overdoses and medical assistance,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10486
2016-2017-4,2016-2017,4,Joseph D Roddy,06/03/2016,Redevelopment plan for 4403 Gibson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10450
2016-2017-9,2016-2017,9,Freeman M Bosley Sr.,06/03/2016,2016 St. Louis Works and 50/50 Sidewalk Program,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10455
2016-2017-10,2016-2017,10,Freeman M Bosley Sr.,06/03/2016,Redevelopment plan for 1500-04 Salisbury,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10456
2016-2017-12,2016-2017,12,Christine Ingrassia,06/03/2016,Redevelopment plan for 2324 Virginia,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10458
2016-2017-13,2016-2017,13,Stephen Conway,06/03/2016,Redevelopment plan for 4030 Russell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10459
2016-2017-14,2016-2017,14,Stephen Conway,06/03/2016,Redevelopment plan for 4104-4164 Detonty,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10460
2016-2017-15,2016-2017,15,Kenneth Ortmann,06/03/2016,Redevelopment plan for 3332-3334 Missouri and 3310 Lemp,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10461
2016-2017-16,2016-2017,16,Megan E. Green,06/03/2016,Redevelopment plan for 3835 Connecticut,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10462
2016-2017-17,2016-2017,17,Megan E. Green,06/03/2016,Redevelopment plan for 3657 Wyoming,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10463
2016-2017-19,2016-2017,19,Kenneth Ortmann,06/03/2016,Redevelopment plan for 2841 McNair,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10465
2016-2017-20,2016-2017,20,Kenneth Ortmann,06/03/2016,Redevelopment plan for 3429 Missouri,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10466
2016-2017-22,2016-2017,22,Kenneth Ortmann,06/03/2016,Redevelopment plan for 1911 Utah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10468
2016-2017-24,2016-2017,24,Kenneth Ortmann,06/03/2016,Redevelopment plan for 2842 Ohio,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10470
2016-2017-25,2016-2017,25,Joseph D Roddy,06/03/2016,Amending 32 North Euclid TIF,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10471
2016-2017-29,2016-2017,29,Christine Ingrassia,06/03/2016,Ordinance amending the Redevelopment plan for Tower Grove East/Fox Park,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10475
2016-2017-31,2016-2017,31,Frank Williamson,06/03/2016,Redevelopment plan for 5859 DeGiverville,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10477
2016-2017-37,2016-2017,37,Jack Coatar,06/03/2016,Redevelopment plan for 2246 Shenandoah,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10483
2016-2017-38,2016-2017,38,Jack Coatar,06/03/2016,Redevelopment plan for 2243 McNair,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10484
2016-2017-43,2016-2017,43,Joseph D Roddy,06/03/2016,Redevelopment plan for 4227 Swan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10490
2016-2017-44,2016-2017,44,Megan E. Green,06/03/2016,Redevelopment plan for 3722 Tholozan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10491
2016-2017-56,2016-2017,56,Jack Coatar,06/03/2016,Redevelopment plan for 2105 Ann,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10503
2016-2017-18,2016-2017,18,Jeffrey L Boyd,05/26/2016,Repealing prohibition of liquor in Ward 22,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10464
2016-2017-42,2016-2017,42,Stephen Conway,05/26/2016,Short Term Tax Revenue Anticipation Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10489
2016-2017-50,2016-2017,50,Joseph D Roddy,05/26/2016,Ordinance to purchase 1212-18 & 1401 Central Industrial Drive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10497
2016-2017-52,2016-2017,52,Scott Ogilvie,05/26/2016,Prohibiting liquor in 24th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10499
2016-2017-2,2016-2017,2,Lyda Krewson,05/20/2016,Airport Use and Lease,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10448
2016-2017-6,2016-2017,6,Joseph Vaccaro,05/20/2016,Establishing 4-way stop at Oleatha/Prather,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10452
2016-2017-7,2016-2017,7,Cara Spencer,05/20/2016,Ordinance pertaining to semi-trailer trucks,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10453
2016-2017-8,2016-2017,8,Joseph D Roddy,05/20/2016,Vacation of Wise between Kingshighway and Brother Thornton Way,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10454
2016-2017-26,2016-2017,26,Kenneth Ortmann,05/20/2016,Establishing a 4-way stop at Sidney and McNair,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10472
2016-2017-34,2016-2017,34,Joseph Vaccaro,05/20/2016,Recreation Sales Tax Leasehold Revenue Refunding Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10480
2016-2017-36,2016-2017,36,Lyda Krewson,05/20/2016,Program for monitoring the prescribing and dispensing of controlled substances,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10482
