session,bbid,sponsor,date of vote, title, url
2018-2019,108,Pam Boyd,11/09/2018,An Ordinance directing the Director of Streets to  		permanently close barricade or otherwise impede the flow of  		traffic on east/west alley-way in City Block 5000 Block bounded  		by Robin Lillian Riverview and Theodore at a point on said,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11169
2018-2019,120,Marlene E Davis,11/09/2018,An Ordinance recommended and approved by the Airport Commission the Board of Public Service and the Board of Estimate and Apportionment authorizing and directing the Director of Airports the President of the Board of Public Service and the Comptro,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11187
2018-2019,121,Marlene E Davis,11/09/2018,An Ordinance recommended and approved by the Board of Estimate and Apportionment authorizing and directing the Director of Airports and the Comptroller of the City of St. Louis (the "City") owner and operator of St. Louis Airport,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11188
2018-2019,128,Samuel L Moore,11/09/2018,An Ordinance establishing a two-way stop site at the intersection of Warne Avenue and Lexington Avenue regulating all traffic traveling northbound and southbound on Warne Avenue at Lexington Avenue and containing an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11194
2018-2019,134,Frank Williamson,11/09/2018,Pursuant to Ordinance 68937 an ordinance authorizing the honorary street name Frank Williamson Sr. Way which shall begin at the intersection of Enright Avenue and Union Boulevard and run east on Enright Avenue to Arlington Avenue.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11200
2018-2019,135,Frank Williamson,11/09/2018,Pursuant to Ordinance 68937 an ordinance authorizing the honorary street name Thelma N. Williamson Way which shall begin at the intersection of Arlington Avenue and Clemens Avenue and run north on Arlington Avenue to the intersection of Arlington A,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11201
2018-2019,149,Brandon Bosley,11/09/2018,Amending Ordinance 70524,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11215
2018-2019,123,Christine Ingrassia,11/02/2018,An ordinance authorizing the sale of certain real property owned by the City of St. Louis and located in City Blocks 2007 and 2008 in the City of St. Louis and containing a severability clause. This ordinance authorizing and directing the Mayor and,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11189
2018-2019,130,Joseph Vollmer,11/02/2018,AN ORDINANCE APPROVING THE PETITION TO ESTABLISH THE LA COLLINA COMMUNITY IMPROVEMENT DISTRICT,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11196
2018-2019,132,Larry Arnowitz,11/02/2018,An ordinance authorizing and directing the Director of the City of St. Louis Department of Health Mayor of the City of St. Louis and their authorized grantee official on behalf of the City of St. Louis to enter into and execute a Cooperative Agre,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11198
2018-2019,6,Carol Howard,10/26/2018,City Whistleblower Law,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11053
2018-2019,124,Scott Ogilvie,10/26/2018,An ordinance repealing Section 4 Subsections 746.010 through 756.040 of Ordinance No. 51871 approved April 4 1963 and pertaining to the establishment of the Decent Literature Commission its organization responsibilities powers and purposes co,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11190
2018-2019,111,Carol Howard,10/19/2018,Zoning of Property 5177 (5347-53 Nottingham Ave),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11175
2018-2019,119,Terry Kennedy,10/19/2018,An ordinance authorizing and directing the Director of Public Safety on behalf of the Mayor and the City of Saint Louis to enter into and execute an Intergovernmental Agreement with the United States Marshal Service for housing and related ser,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11181
2018-2019,117,Larry Arnowitz,10/19/2018,An Ordinance authorizing and directing the Director of the Department of Human Services by and   through the St. Louis Area Agency on Aging and on behalf of the City of St. Louis to accept funding   from the Missouri Association of Area Agencies on,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11182
2018-2019,20,Cara Spencer,10/12/2018,An ordinance approving a Redevelopment Plan for  3452 Oregon.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11065
2018-2019,22,Cara Spencer,10/12/2018,An ordinance approving a Redevelopment Plan for 3429-3431 Ohio.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11067
2018-2019,23,Dan Guenther,10/12/2018,An ordinance approving a Redevelopment Plan  for 3520 Wisconsin.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11068
2018-2019,33,Sarah Martin,10/12/2018,Redevelopment Plan for the 532 Bates,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11078
2018-2019,34,Beth Murphy,10/12/2018,Redevelopment Plan for the 5019 5032 & 5034 Ulena Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11080
2018-2019,38,Frank Williamson,10/12/2018,Redevelopment Plan for the 5780 McPherson Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11084
2018-2019,39,Sarah Martin,10/12/2018,Redevelopment Plan for the 7401 Vermont Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11085
2018-2019,40,Scott Ogilvie,10/12/2018,Redevelopment Plan for the 6452 Nashville Ave. & 6453 Wade Ave. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11086
2018-2019,79,Cara Spencer,10/12/2018,Redevelopment Plan for the 3437-3439 Iowa Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11139
2018-2019,80,Cara Spencer,10/12/2018,Redevelopment Plan for the 3211 Osage St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11140
2018-2019,81,Sarah Martin,10/12/2018,Redevelopment Plan for the 7714-18 South Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11141
2018-2019,82,Dan Guenther,10/12/2018,Redevelopment Plan for the 2829 Iowa Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11142
2018-2019,84,Jack Coatar,10/12/2018,Redevelopment Plan for the 2235 McNair Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11144
2018-2019,85,Jack Coatar,10/12/2018,Redevelopment Plan for the 705-719 North 2nd St,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11145
2018-2019,94,Frank Williamson,10/12/2018,Redevelopment Plan for 1420-22 Union,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11154
2018-2019,95,Terry Kennedy,10/12/2018,An ordinance approving a Redevelopment Plan for the 4213 Maryland Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11155
2018-2019,98,Marlene E Davis,10/12/2018,Third Amendment to Section One of the Airport Schedule F CIP Project Ordinance 67357 approved December 19 2006,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11158
